onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.010590	1.486331	choice_far_good	1.486331	4	low	4	10
9.262515	2.000000	outcome_far_good_defect	1.486331	4	low	4	10
15.302093	1.579003	choice_far_good	1.579003	10	low	10	20
20.554964	2.000000	outcome_far_good_recip	1.579003	10	low	10	20
29.824585	1.706096	choice_far_bad	1.706096	16	high	10	16
35.078084	2.000000	outcome_far_bad_recip	1.706096	16	high	10	16
44.347767	1.683549	choice_close_good	1.683549	4	low	4	20
49.600504	2.000000	outcome_close_good_recip	1.683549	4	low	4	20
54.025563	1.472020	choice_far_good	1.472020	4	high	0	4
59.278361	2.000000	outcome_far_good_defect	1.472020	4	high	0	4
66.934565	1.397060	choice_far_bad	1.397060	4	high	0	4
73.687814	2.000000	outcome_far_bad_defect	1.397060	4	high	0	4
76.497135	1.717484	choice_close_bad	1.717484	0	low	0	20
89.404793	1.909772	choice_far_good	1.909772	16	low	16	20
96.157598	2.000000	outcome_far_good_recip	1.909772	16	low	16	20
98.967118	1.431265	choice_close_good	1.431265	4	high	0	4
104.219049	2.000000	outcome_close_good_recip	1.431265	4	high	0	4
107.027234	1.521088	choice_close_good	1.521088	16	high	0	16
112.279437	2.000000	outcome_close_good_defect	1.521088	16	high	0	16
115.090621	1.707299	choice_far_bad	1.707299	20	high	0	20
120.342544	2.000000	outcome_far_bad_defect	1.707299	20	high	0	20
124.767522	1.431419	choice_close_bad	1.431419	4	low	4	10
133.019994	2.000000	outcome_close_bad_defect	1.431419	4	low	4	10
137.446206	1.634847	choice_far_bad	1.634847	0	low	0	10
148.739178	1.725891	choice_far_good	1.725891	20	high	0	20
153.992621	2.000000	outcome_far_good_recip	1.725891	20	high	0	20
160.032338	1.615806	choice_close_good	1.615806	16	low	16	20
168.285199	2.000000	outcome_close_good_recip	1.615806	16	low	16	20
171.093785	2.471954	choice_close_good	2.471954	0	low	0	20
185.502103	2.347289	choice_close_bad	2.347289	0	low	0	20
196.794451	2.153820	choice_far_good	2.153820	16	high	4	16
202.047456	2.000000	outcome_far_good_recip	2.153820	16	high	4	16
206.470953	1.478235	choice_far_good	1.478235	4	high	0	4
214.721079	2.000000	outcome_far_good_recip	1.478235	4	high	0	4
222.378390	1.703710	choice_close_good	1.703710	10	low	10	16
229.131038	2.000000	outcome_close_good_recip	1.703710	10	low	10	16
238.402477	1.679824	choice_far_good	1.679824	16	high	0	16
245.155039	2.000000	outcome_far_good_defect	1.679824	16	high	0	16
256.041026	2.107790	choice_close_good	2.107790	0	low	0	20
267.104020	1.979365	choice_close_bad	1.979365	4	low	4	20
275.355863	2.000000	outcome_close_bad_defect	1.979365	4	low	4	20
278.166293	1.983886	choice_far_bad	1.983886	16	high	0	16
286.419496	2.000000	outcome_far_bad_defect	1.983886	16	high	0	16
